Date_ID,Date,Day,ISO_Week,Month,Quarter,Year,Day_of_Week,Is_US_Holiday
102,2018-04-12,12,15,4,q2,2018,thursday,False
103,2018-04-13,13,15,4,q2,2018,friday,False
104,2018-04-14,14,15,4,q2,2018,saturday,False
105,2018-04-15,15,15,4,q2,2018,sunday,False
106,2018-04-16,16,16,4,q2,2018,monday,False
107,2018-04-17,17,16,4,q2,2018,tuesday,False
108,2018-04-18,18,16,4,q2,2018,wednesday,False
109,2018-04-19,19,16,4,q2,2018,thursday,False
110,2018-04-20,20,16,4,q2,2018,friday,False
111,2018-04-21,21,16,4,q2,2018,saturday,False
112,2018-04-22,22,16,4,q2,2018,sunday,False
113,2018-04-23,23,17,4,q2,2018,monday,False
114,2018-04-24,24,17,4,q2,2018,tuesday,False
115,2018-04-25,25,17,4,q2,2018,wednesday,False
116,2018-04-26,26,17,4,q2,2018,thursday,False
117,2018-04-27,27,17,4,q2,2018,friday,False
118,2018-04-28,28,17,4,q2,2018,saturday,False
119,2018-04-29,29,17,4,q2,2018,sunday,False
120,2018-04-30,30,18,4,q2,2018,monday,False
121,2018-05-01,1,18,5,q2,2018,tuesday,False
122,2018-05-02,2,18,5,q2,2018,wednesday,False
123,2018-05-03,3,18,5,q2,2018,thursday,False
124,2018-05-04,4,18,5,q2,2018,friday,False
125,2018-05-05,5,18,5,q2,2018,saturday,False
126,2018-05-06,6,18,5,q2,2018,sunday,False
127,2018-05-07,7,19,5,q2,2018,monday,False
128,2018-05-08,8,19,5,q2,2018,tuesday,False
129,2018-05-09,9,19,5,q2,2018,wednesday,False
130,2018-05-10,10,19,5,q2,2018,thursday,False
131,2018-05-11,11,19,5,q2,2018,friday,False
132,2018-05-12,12,19,5,q2,2018,saturday,False
133,2018-05-13,13,19,5,q2,2018,sunday,False
134,2018-05-14,14,20,5,q2,2018,monday,False
135,2018-05-15,15,20,5,q2,2018,tuesday,False
136,2018-05-16,16,20,5,q2,2018,wednesday,False
137,2018-05-17,17,20,5,q2,2018,thursday,False
138,2018-05-18,18,20,5,q2,2018,friday,False
139,2018-05-19,19,20,5,q2,2018,saturday,False
140,2018-05-20,20,20,5,q2,2018,sunday,False
141,2018-05-21,21,21,5,q2,2018,monday,False
142,2018-05-22,22,21,5,q2,2018,tuesday,False
143,2018-05-23,23,21,5,q2,2018,wednesday,False
144,2018-05-24,24,21,5,q2,2018,thursday,False
145,2018-05-25,25,21,5,q2,2018,friday,False
146,2018-05-26,26,21,5,q2,2018,saturday,False
147,2018-05-27,27,21,5,q2,2018,sunday,False
148,2018-05-28,28,22,5,q2,2018,monday,True
149,2018-05-29,29,22,5,q2,2018,tuesday,False
150,2018-05-30,30,22,5,q2,2018,wednesday,False
